#,Date,Lead ID,Mode,TXN ID,Ref. ID,Amount,Status,By
1,15-09-2026,LEAD000016,Online,order_TcDb8EOzSt3CRT,pay_TcDekodq1mM7x9,1000,success,Parent
2,15-09-2026,LEAD000006,Online,order_TcC1eubl7Qxmc5,pay_TcC1o0xnIdwfNN,22500,success,Parent
3,11-09-2026,LEAD000015,Online,order_TafcfSdyk9TIUl,pay_TafiVny7mfmdpO,1000,success,Parent
4,11-09-2026,LEAD000013,Online,order_Tac1voc2sZOnEm,pay_Tac7ZGYDuHDzEs,1000,success,Parent
5,10-09-2026,LEAD000014,Online,order_TaJieCmhbIsmGV,pay_TaJip86tKPgxAi,1000,success,Parent
6,09-09-2026,LEAD000003,Online,order_TZqq0QTP0h1sJA,pay_TZqqLhrKFQsWoK,12500,success,Parent
7,09-09-2026,LEAD000005,Online,order_TZrzsXyAEo97Ok,pay_TZs0AFHbAMqXEj,12500,success,Parent
8,21-08-2026,LEAD000012,Online,order_TSIqxGnIbsTQBi,pay_TSIrB9I9oRI2A3,1000,success,Parent
9,13-08-2026,LEAD000010,Online,order_TP722VO941W4C7,pay_TP72YsZvdXzUBj,15000,success,Parent
10,01-08-2026,LEAD000007,Online,order_TKTuW4hi53af5k,pay_TKTv0j1YqI54VJ,14500,success,Parent
11,31-07-2026,LEAD000006,Online,order_TK4Fl2aPJh6LEf,pay_TK4FznVtkPtiay,1000,success,Parent
12,31-07-2026,LEAD000005,Online,order_TK2xpCxaUAlbcF,pay_TK2xzFk1mCTJiM,11000,success,Parent
13,22-07-2026,LEAD000004,Online,order_TGVrmUMeFsogrB,pay_TGVrzkS6FAtuLR,82000,success,Parent
14,22-07-2026,LEAD000003,Online,order_TGQU9YSJ2BhktN,pay_TGQUW7ZRkj1XRE,11000,success,Parent
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
